# Program:featureCounts v1.5.0-p1; Command:""featureCounts"" ""-a"" ""ws254.saf"" ""-o"" ""counts.txt"" ""-s"" ""2"" ""-F"" ""SAF"" ""1_S1_R1_001"" ""2_S2_R1_001"" ""3_S3_R1_001"" ""4_S4_R1_001"" ""5_S5_R1_001"" ""6_S6_R1_001"" ""7_S7_R1_001"" "
Geneid	Chr	Start	End	Strand	Length	s1_S1_R1_001	s2_S2_R1_001	s3_S3_R1_001	s5_S5_R1_001	s6_S6_R1_001	s7_S7_R1_001
WBGene00022042	chrI	535791	536670	+	880	9953	6652	3660	5313	9539	13235
WBGene00201456	chrI	536804	536931	-	128	0	0	0	0	0	0
WBGene00007009	chrI	537122	542200	+	5079	8112	3456	7867	7659	10147	8777
WBGene00220191	chrI	539086	539242	+	157	0	0	0	0	0	0
WBGene00004235	chrI	550696	556638	+	5943	3489	812	1726	2353	2496	2811
WBGene00202444	chrI	553658	553785	+	128	0	0	0	0	0	0
WBGene00002393	chrI	557375	561671	+	4297	16	0	33	14	19	69
WBGene00022040	chrI	562736	565181	+	2446	56	10	59	49	0	49
WBGene00000434	chrI	565436	566414	-	979	182	70	151	206	262	241
WBGene00001725	chrI	572177	575120	-	2944	2	30	1	0	16	15
WBGene00044427	chrI	582288	583748	-	1461	4	0	1	0	0	10
WBGene00235390	chrI	585119	585376	+	258	0	0	0	0	0	0
WBGene00002040	chrI	585831	607601	-	21771	487	412	527	582	789	543
WBGene00200417	chrI	613290	613379	-	90	0	0	0	0	0	0
WBGene00201449	chrI	613290	613379	+	90	0	0	0	0	0	2
WBGene00018923	chrI	614651	629444	-	14794	159	153	89	105	99	318
WBGene00018921	chrI	618160	621490	+	3331	71	20	42	21	20	19
WBGene00022028	chrI	621708	622187	+	480	22	0	20	16	11	34
WBGene00022029	chrI	629492	636350	-	6859	2723	1360	1277	1696	1859	2779
WBGene00220188	chrI	630006	630218	-	213	0	0	0	0	0	0
WBGene00220189	chrI	630926	631035	-	110	0	0	0	0	0	0
WBGene00022027	chrI	636804	637852	+	1049	1081	608	767	934	1187	1672
WBGene00022026	chrI	638129	653986	+	15858	880	182	648	767	916	1034
WBGene00022030	chrI	645626	647242	-	1617	4	0	0	0	0	19
WBGene00022025	chrI	654090	658810	+	4721	380	140	427	547	394	621
WBGene00022031	chrI	659557	663686	-	4130	599	105	239	327	321	730
WBGene00022032	chrI	664426	666900	-	2475	0	0	0	0	0	10
WBGene00044461	chrI	667615	674413	-	6799	2	0	0	2	22	0
WBGene00021215	chrI	680408	683472	+	3065	250	0	96	59	144	204
WBGene00021214	chrI	682876	686599	-	3724	7	28	7	13	0	15
WBGene00021207	chrI	688286	691267	+	2982	0	0	0	0	0	0
WBGene00021210	chrI	692026	694948	-	2923	1354	518	807	1359	1526	1715
WBGene00021208	chrI	694982	698322	-	3341	1261	618	708	1014	1565	1907
WBGene00021209	chrI	700274	715874	-	15601	2735	1032	2229	2119	2903	2622
WBGene00004332	chrI	717893	719816	-	1924	26	0	7	18	0	44
WBGene00004028	chrI	719929	731078	+	11150	133	155	97	89	139	197
WBGene00044434	chrI	731068	736552	-	5485	30	0	25	41	35	26
WBGene00236789	chrI	740835	741878	+	1044	67	0	30	64	61	49
WBGene00000623	chrI	741913	745570	-	3658	3	0	0	4	0	0
WBGene00198328	chrI	742120	742286	-	167	0	0	0	0	0	0
WBGene00000624	chrI	745859	748288	+	2430	0	0	1	0	0	0
WBGene00021213	chrI	748228	757010	-	8783	4	0	0	0	0	0
WBGene00023169	chrI	754680	754763	+	84	0	0	0	0	0	0
WBGene00197162	chrI	757536	757618	+	83	0	0	0	0	0	0
WBGene00021212	chrI	758756	760429	+	1674	0	0	0	4	0	0
WBGene00020282	chrI	760848	761849	-	1002	0	0	0	0	0	0
WBGene00020283	chrI	763597	770720	+	7124	19	59	2	5	0	28
WBGene00020281	chrI	770892	776369	+	5478	0	0	0	0	0	5
WBGene00196394	chrI	774365	774585	+	221	0	0	0	0	0	0
WBGene00196011	chrI	774439	774584	-	146	0	0	0	0	0	0
WBGene00201573	chrI	779157	779241	-	85	0	0	0	0	0	0
WBGene00201667	chrI	788097	788219	+	123	22	0	8	15	49	23
WBGene00195514	chrI	796997	797295	-	299	0	0	0	0	5	0
WBGene00199422	chrI	801555	801698	-	144	0	0	0	0	0	0
WBGene00022518	chrI	803368	835277	+	31910	16356	7713	25451	21579	27405	22246
WBGene00023398	chrI	803800	803872	+	73	0	0	0	0	0	0
WBGene00200408	chrI	806419	806659	-	241	0	0	0	0	0	0
WBGene00201436	chrI	806510	806659	+	150	0	0	0	0	0	0
WBGene00202093	chrI	809294	809476	+	183	0	0	0	0	0	0
WBGene00197978	chrI	812295	812442	-	148	0	0	6	0	0	0
WBGene00195610	chrI	815976	816026	+	51	0	0	0	0	0	0
WBGene00200506	chrI	816036	816306	+	271	0	0	0	0	0	0
WBGene00197264	chrI	834416	834465	+	50	0	0	0	0	0	0
WBGene00022517	chrI	837996	841746	+	3751	59	26	75	30	79	113
WBGene00022519	chrI	841742	846763	-	5022	7006	2256	6498	7868	9380	8674
WBGene00202359	chrI	846171	846491	+	321	0	0	0	0	0	0
WBGene00022388	chrI	853451	872103	+	18653	1436	728	1686	1856	1484	1595
WBGene00022389	chrI	873164	882713	-	9550	17420	5183	9177	13002	20552	15507
WBGene00022386	chrI	882918	890194	+	7277	433	201	269	271	449	400
WBGene00022390	chrI	889771	895105	-	5335	117	65	141	148	142	175
WBGene00001678	chrI	897286	906077	+	8792	530	159	449	448	559	584
WBGene00220217	chrI	906339	906481	+	143	2	0	0	0	0	0
WBGene00022385	chrI	907448	911189	+	3742	5	0	3	1	0	5
WBGene00022391	chrI	912415	926877	-	14463	16972	4558	12886	14787	22360	22161
WBGene00201274	chrI	916168	916317	+	150	6	0	0	1	0	8
WBGene00022383	chrI	938464	941773	+	3310	157	155	40	70	87	167
WBGene00003548	chrI	942257	947710	+	5454	20	0	16	8	69	18
WBGene00199411	chrI	942547	942652	-	106	1	0	0	0	0	0
WBGene00200422	chrI	942547	942652	+	106	0	0	0	0	0	0
WBGene00195544	chrI	946027	946117	+	91	0	0	0	0	0	0
WBGene00023199	chrI	946044	946115	-	72	0	0	0	0	0	0
WBGene00003238	chrI	948569	957404	-	8836	4749	944	3061	3922	4768	4219
WBGene00018787	chrI	963700	969426	-	5727	170	262	191	138	187	373
WBGene00018788	chrI	969089	976503	-	7415	1957	785	1722	1973	1640	1781
WBGene00197993	chrI	979125	979274	+	150	0	0	0	0	0	0
WBGene00200860	chrI	979125	979274	-	150	0	0	0	0	0	0
WBGene00018786	chrI	989671	992181	+	2511	440	43	356	300	335	120
WBGene00016932	chrI	996045	1005066	+	9022	2550	855	1911	1937	3357	3088
WBGene00196934	chrI	996207	996655	+	449	0	0	0	0	0	0
WBGene00199650	chrI	996277	996576	-	300	0	0	0	0	0	4
WBGene00016931	chrI	1006102	1010765	+	4664	523	187	248	301	493	387
WBGene00016930	chrI	1011371	1014455	-	3085	5	0	4	0	0	52
WBGene00236808	chrI	1015204	1015731	-	528	1	0	0	0	0	5
WBGene00005002	chrI	1016403	1017180	+	778	118	49	14	19	117	112
WBGene00021335	chrI	1018835	1019229	+	395	29	0	20	25	167	59
WBGene00021327	chrI	1019827	1029910	-	10084	1800	889	967	1301	1610	2313
WBGene00004952	chrI	1030629	1033436	-	2808	61	62	32	43	37	186
WBGene00021329	chrI	1034443	1040868	+	6426	421	92	260	320	479	655
WBGene00021332	chrI	1041474	1048329	+	6856	444	386	304	366	409	548
WBGene00021331	chrI	1049596	1050727	+	1132	980	366	498	799	1155	1588
WBGene00021333	chrI	1050921	1053826	-	2906	3336	1414	1455	2445	2427	3433
WBGene00021334	chrI	1053894	1066899	-	13006	5774	1846	3513	4293	5749	5975
WBGene00021328	chrI	1062293	1065269	+	2977	4591	834	3024	3403	4106	4257
WBGene00001745	chrI	1068484	1075010	+	6527	6814	4480	6950	7063	10176	8645
WBGene00019909	chrI	1084630	1088473	+	3844	59	0	50	42	54	110
WBGene00044895	chrI	1088514	1089742	+	1229	1	0	0	0	0	0
WBGene00019911	chrI	1089666	1095796	-	6131	487	142	219	278	690	415
WBGene00174760	chrI	1093137	1093157	-	21	0	0	0	0	0	0
WBGene00022838	chrI	1107578	1112251	+	4674	89	59	83	48	137	146
WBGene00236809	chrI	1112418	1115501	+	3084	92	0	40	45	85	104
WBGene00202055	chrI	1126975	1127057	+	83	0	0	0	0	0	0
WBGene00022837	chrI	1128324	1131737	+	3414	712	342	347	485	713	640
WBGene00021689	chrI	1136371	1154386	-	18016	808	1139	794	836	1001	1255
WBGene00000165	chrI	1154511	1156020	-	1510	2614	1366	1241	1651	2706	2827
WBGene00198207	chrI	1156088	1156264	-	177	0	0	0	0	0	0
WBGene00195424	chrI	1156163	1156454	+	292	0	0	0	0	0	0
WBGene00004429	chrI	1156579	1157474	+	896	21815	10185	7450	9992	18926	25070
WBGene00021687	chrI	1157571	1162939	+	5369	89	52	27	37	87	108
WBGene00001816	chrI	1162880	1175868	-	12989	359	91	253	256	307	463
WBGene00004880	chrI	1176471	1190829	+	14359	1240	680	1370	1324	1352	1559
WBGene00249808	chrI	1189970	1190830	-	861	0	0	0	0	0	0
WBGene00021686	chrI	1193158	1211434	+	18277	2600	899	1498	1884	2402	2700
WBGene00021685	chrI	1211485	1254669	+	43185	1667	964	1634	1505	1591	2067
WBGene00195068	chrI	1215045	1217263	-	2219	2	0	0	0	0	0
WBGene00021690	chrI	1218435	1219002	-	568	0	0	0	0	0	0
WBGene00021691	chrI	1223957	1229282	-	5326	2077	1360	824	1293	1714	2232
WBGene00201777	chrI	1251252	1251322	-	71	0	0	0	0	0	0
WBGene00021692	chrI	1254770	1258258	+	3489	152	28	76	171	135	202
WBGene00001707	chrI	1259374	1268155	-	8782	248	265	131	149	199	370
WBGene00201534	chrI	1278808	1279042	+	235	10	0	2	6	2	2
WBGene00200307	chrI	1278912	1279042	-	131	0	0	0	0	0	0
WBGene00197713	chrI	1279436	1279484	-	49	0	0	0	0	0	0
WBGene00199486	chrI	1279436	1279484	+	49	2	0	2	0	0	11
WBGene00021693	chrI	1282101	1285435	+	3335	3188	1302	1686	2484	3757	3345
WBGene00021694	chrI	1287304	1287959	+	656	30	6	44	33	120	100
WBGene00003400	chrI	1305562	1328348	+	22787	2631	892	2132	2088	4079	2227
WBGene00197361	chrI	1307480	1307624	-	145	0	0	0	0	0	0
WBGene00044896	chrI	1332698	1334074	+	1377	0	0	0	0	0	0
WBGene00019674	chrI	1335321	1336867	+	1547	48	0	21	30	33	12
WBGene00045052	chrI	1337012	1338216	+	1205	94	58	52	41	31	65
WBGene00045053	chrI	1338749	1339773	+	1025	64	0	17	37	83	59
WBGene00004888	chrI	1340678	1341258	+	581	761	274	275	522	441	792
WBGene00019673	chrI	1341218	1344692	-	3475	3663	418	2088	1734	3371	2855
WBGene00022363	chrI	1348503	1359595	+	11093	2319	2245	1003	1782	2399	4258
WBGene00022366	chrI	1365309	1376409	+	11101	2131	2650	1479	1969	2923	4308
WBGene00022365	chrI	1376942	1385057	-	8116	1034	693	945	933	1176	1407
WBGene00022367	chrI	1385818	1392759	-	6942	750	501	714	683	931	911
WBGene00022372	chrI	1394569	1402975	+	8407	453	375	698	471	714	595
WBGene00022371	chrI	1405935	1413100	+	7166	261	80	159	188	255	323
WBGene00022368	chrI	1413915	1415807	-	1893	691	93	548	617	917	896
WBGene00022369	chrI	1416586	1425201	+	8616	2746	1099	1692	2078	2208	3166
WBGene00022370	chrI	1427227	1433695	-	6469	492	986	286	602	467	1156
WBGene00022373	chrI	1436279	1441331	+	5053	803	437	470	547	914	1099
WBGene00018159	chrI	1442048	1443942	-	1895	746	315	272	434	734	758
WBGene00219937	chrI	1444507	1444641	+	135	0	0	0	1	0	0
WBGene00004969	chrI	1446497	1465358	+	18862	3183	821	3653	3389	3966	4230
WBGene00196566	chrI	1447135	1447234	-	100	0	0	0	0	0	0
WBGene00023055	chrI	1447138	1447210	+	73	0	0	0	0	0	0
WBGene00001773	chrI	1451122	1453077	-	1956	0	0	0	2	0	0
WBGene00018580	chrI	1465597	1469587	+	3991	2	0	0	4	0	8
WBGene00018579	chrI	1471227	1479920	+	8694	314	214	85	187	328	312
WBGene00001115	chrI	1483083	1490494	+	7412	4462	2113	3169	3588	5177	5594
WBGene00170789	chrI	1487607	1487627	-	21	1	0	0	0	0	0
WBGene00022361	chrI	1490887	1514411	-	23525	1032	933	1392	1340	1525	1269
WBGene00022360	chrI	1514755	1540847	+	26093	413	312	644	625	654	494
WBGene00022358	chrI	1543525	1556196	+	12672	6270	1924	6051	6040	9190	8047
WBGene00172419	chrI	1556641	1556661	-	21	0	0	0	0	0	0
WBGene00005077	chrI	1566929	1580196	+	13268	2607	1503	2498	2658	3348	3289
WBGene00195355	chrI	1575714	1575803	-	90	0	0	0	0	0	0
WBGene00023198	chrI	1575720	1575792	+	73	0	0	0	0	0	0
WBGene00022270	chrI	1581394	1593668	+	12275	739	204	417	463	982	1070
WBGene00022271	chrI	1594659	1596184	-	1526	35855	13056	20033	33762	40004	47889
WBGene00022272	chrI	1600624	1601457	-	834	3	27	0	10	0	19
WBGene00022269	chrI	1601838	1606926	+	5089	696	318	414	362	805	698
WBGene00022273	chrI	1607658	1610041	-	2384	211	145	91	91	63	197
WBGene00044440	chrI	1610390	1620080	+	9691	398	141	336	330	522	432
WBGene00000269	chrI	1621346	1628476	-	7131	1512	547	808	991	1406	1589
WBGene00022268	chrI	1629003	1633498	+	4496	1283	636	699	852	1438	1764
WBGene00022274	chrI	1634613	1644107	+	9495	3	0	7	10	0	6
WBGene00003111	chrI	1644588	1651394	-	6807	9182	3669	7282	9275	10757	10632
WBGene00022156	chrI	1652901	1655399	+	2499	6	0	3	10	0	17
WBGene00173142	chrI	1653765	1653785	+	21	0	0	0	0	0	0
WBGene00004168	chrI	1655616	1656726	-	1111	55	105	62	74	61	175
WBGene00044358	chrI	1657513	1663331	-	5819	0	0	6	2	29	0
WBGene00022157	chrI	1663412	1667414	-	4003	5	0	0	1	0	4
WBGene00022155	chrI	1667501	1669792	+	2292	37	131	27	30	74	71
WBGene00022158	chrI	1670036	1672742	-	2707	872	297	582	780	835	999
WBGene00185098	chrI	1672821	1676434	-	3614	617	270	393	449	879	801
WBGene00022154	chrI	1680450	1685063	+	4614	47	30	28	30	69	76
WBGene00044348	chrI	1686216	1693457	-	7242	351	120	350	279	485	564
WBGene00200707	chrI	1691497	1691645	+	149	1	0	0	0	0	0
WBGene00236797	chrI	1692352	1693675	+	1324	4	24	19	2	17	26
WBGene00220197	chrI	1693190	1693457	+	268	0	0	0	0	0	0
WBGene00219767	chrI	1696199	1697676	+	1478	19	71	17	16	25	44
WBGene00006702	chrI	1698094	1701128	+	3035	7092	3292	4526	5988	7897	8135
WBGene00003080	chrI	1701361	1701808	+	448	464	284	193	303	217	633
WBGene00022153	chrI	1702105	1708008	+	5904	1143	297	689	672	1043	1170
WBGene00022152	chrI	1709587	1715568	+	5982	966	378	603	821	1026	1208
WBGene00006771	chrI	1721592	1740670	+	19079	5790	5010	10234	8486	8944	8120
WBGene00199017	chrI	1738614	1738724	-	111	0	0	0	0	0	0
WBGene00003278	chrI	1738635	1738733	+	99	0	0	0	0	0	0
WBGene00022159	chrI	1740647	1751055	-	10409	560	148	328	271	635	594
WBGene00022150	chrI	1751481	1754410	+	2930	1023	270	500	500	691	1202
WBGene00022149	chrI	1755329	1766400	+	11072	1441	678	1036	1297	2091	1567
WBGene00022148	chrI	1767887	1790157	+	22271	1828	1029	1280	1135	2973	2301
WBGene00022160	chrI	1771388	1775933	-	4546	56	34	15	34	69	67
WBGene00022161	chrI	1779766	1782594	-	2829	1149	395	451	746	1095	1480
WBGene00220198	chrI	1791398	1791491	+	94	2	0	0	0	0	16
WBGene00022147	chrI	1792455	1792898	+	444	0	0	0	0	0	0
WBGene00022146	chrI	1793254	1796424	+	3171	92	0	26	63	63	94
WBGene00022162	chrI	1797435	1798722	-	1288	0	0	0	0	0	0
WBGene00022145	chrI	1799717	1805669	+	5953	25	9	69	16	54	20
WBGene00022144	chrI	1808091	1811835	+	3745	117357	37068	60184	95750	115287	139899
WBGene00022143	chrI	1812892	1813581	+	690	17	0	16	21	41	6
WBGene00044349	chrI	1813909	1816061	-	2153	36	0	13	19	50	61
WBGene00022142	chrI	1816150	1818496	+	2347	77	0	46	8	0	41
WBGene00044347	chrI	1818581	1822948	-	4368	7	25	0	7	0	0
WBGene00219766	chrI	1822401	1823043	+	643	6	0	8	3	0	7
WBGene00022141	chrI	1823447	1825967	+	2521	66	81	32	23	134	117
WBGene00022163	chrI	1828079	1831929	+	3851	0	25	0	0	0	9
WBGene00044746	chrI	1832115	1832641	-	527	157	151	72	126	119	224
WBGene00016907	chrI	1832897	1834764	+	1868	2712	1115	1359	1618	2521	3095
WBGene00004441	chrI	1834881	1835439	+	559	21043	12061	6293	9583	18252	27454
WBGene00001196	chrI	1835631	1841936	+	6306	33289	12245	23311	31761	40193	33099
WBGene00202110	chrI	1840679	1840745	-	67	0	0	0	0	0	0
WBGene00220027	chrI	1841238	1841334	+	97	0	0	0	0	0	0
WBGene00001309	chrI	1842445	1843227	+	783	790	121	818	533	786	939
WBGene00003750	chrI	1843384	1843899	+	516	9356	6931	6272	15482	8344	22281
WBGene00006461	chrI	1845221	1850523	+	5303	335	214	310	286	377	450
WBGene00044897	chrI	1851681	1852280	-	600	0	0	0	0	0	0
WBGene00019706	chrI	1856459	1860578	-	4120	2	22	0	3	0	2
WBGene00004743	chrI	1862607	1872306	-	9700	5674	2070	4296	6780	6519	6676
WBGene00022139	chrI	1874033	1883639	+	9607	8421	4297	10001	8768	9996	9518
WBGene00022140	chrI	1885205	1894905	-	9701	5	0	1	1	0	13
WBGene00022138	chrI	1895161	1923088	+	27928	803	594	643	840	861	1259
WBGene00021768	chrI	1911684	1913966	-	2283	2044	231	775	555	1233	1424
WBGene00219760	chrI	1916942	1917064	-	123	0	0	0	0	0	0
WBGene00021766	chrI	1924300	1932260	+	7961	437	215	241	492	452	535
WBGene00021765	chrI	1932352	1945212	+	12861	1079	359	779	1113	1120	1249
WBGene00255420	chrI	1945814	1949520	-	3707	3	0	11	1	24	12
WBGene00021771	chrI	1950594	1958527	-	7934	623	414	578	533	600	912
WBGene00044438	chrI	1958707	1965267	+	6561	267	266	449	387	596	505
WBGene00021764	chrI	1967772	1973882	+	6111	1742	525	1232	1625	1591	1763
WBGene00201351	chrI	1974779	1974991	-	213	0	0	0	0	0	0
WBGene00196465	chrI	1974820	1974991	+	172	35	0	10	29	56	34
WBGene00021763	chrI	1977993	1983436	+	5444	213	140	113	125	61	194
WBGene00021238	chrI	1988246	2010525	-	22280	529	317	685	656	786	709
WBGene00220136	chrI	2019432	2019523	+	92	0	0	0	0	0	0
WBGene00021237	chrI	2026277	2033966	+	7690	15921	6313	11495	13848	23911	19316
WBGene00021239	chrI	2034383	2043805	-	9423	3850	1419	4882	3839	5279	5097
WBGene00219749	chrI	2046539	2048913	+	2375	26	40	16	31	14	55
WBGene00044435	chrI	2049140	2050177	-	1038	47	0	60	74	53	44
WBGene00021346	chrI	2061667	2064077	-	2411	906	363	597	767	752	1156
WBGene00021347	chrI	2064293	2064686	+	394	114	67	68	111	79	205
WBGene00021348	chrI	2064909	2065481	+	573	425	237	183	262	276	592
WBGene00021349	chrI	2065727	2069049	+	3323	779	352	509	477	749	636
WBGene00195672	chrI	2068818	2068951	-	134	0	0	0	0	0	3
WBGene00004409	chrI	2069086	2069587	-	502	13655	8076	4254	7044	11309	19301
WBGene00021350	chrI	2069681	2070607	-	927	18114	12023	5289	9106	14877	27156
WBGene00044932	chrI	2069884	2070023	-	140	0	0	0	0	0	0
WBGene00197277	chrI	2070216	2070358	+	143	0	0	7	0	0	0
WBGene00044931	chrI	2070256	2070394	-	139	0	0	0	0	0	0
WBGene00196428	chrI	2070673	2070891	-	219	0	0	0	0	0	0
